City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Fall,Snow Fall
493,Tarko-Sale,RU,2020-04-20 00:20:47,64.92,77.78,34.0,92,100,8.55,light rain,0.0,0.0
494,Novo Aripuana,BR,2020-04-20 00:20:47,-5.12,-60.38,74.79,96,87,3.27,light rain,1.81,0.0
495,Ravar,IR,2020-04-20 00:20:47,31.27,56.81,62.78,40,59,1.48,broken clouds,0.0,0.0
496,Powell River,CA,2020-04-20 00:20:47,49.85,-124.54,59.0,62,20,6.93,few clouds,0.0,0.0
497,Kui Buri,TH,2020-04-20 00:20:48,12.08,99.85,80.6,78,20,1.12,few clouds,0.0,0.0
498,Naliya,IN,2020-04-20 00:20:48,23.27,68.83,77.7,81,33,10.76,scattered clouds,0.0,0.0
499,Wasilla,US,2020-04-20 00:15:50,61.58,-149.44,53.6,54,90,4.7,overcast clouds,0.0,0.0
500,Kidal,ML,2020-04-20 00:20:48,18.44,1.41,86.61,12,71,8.99,broken clouds,0.0,0.0
501,Dongsheng,CN,2020-04-20 00:20:49,39.82,109.98,31.32,36,0,20.2,clear sky,0.0,0.0
502,Dingle,PH,2020-04-20 00:17:09,11.0,122.67,83.32,76,89,12.44,light rain,0.59,0.0
503,Namibe,AO,2020-04-20 00:20:49,-15.2,12.15,75.31,65,19,2.8,light rain,1.52,0.0
504,Praia,CV,2020-04-20 00:20:29,14.92,-23.51,71.6,64,20,19.46,few clouds,0.0,0.0
505,Chalus,IR,2020-04-20 00:20:50,36.66,51.42,55.4,100,90,2.24,mist,0.0,0.0
506,Khani,GE,2020-04-20 00:20:50,41.96,42.96,46.4,93,26,6.93,scattered clouds,0.0,0.0
507,Aswan,EG,2020-04-20 00:20:50,24.09,32.91,70.5,30,0,8.34,clear sky,0.0,0.0
508,Nienburg,DE,2020-04-20 00:20:51,52.63,9.22,44.6,45,0,12.75,clear sky,0.0,0.0
509,Petropavlovsk-Kamchatskiy,RU,2020-04-20 00:20:51,53.05,158.65,35.6,27,21,13.42,few clouds,0.0,0.0
510,Atambua,ID,2020-04-20 00:20:51,-9.11,124.89,78.87,67,11,1.95,few clouds,0.0,0.0
511,Zapolyarnyy,RU,2020-04-20 00:20:52,69.42,30.81,37.4,88,100,24.16,overcast clouds,0.0,0.0
512,Frontera,MX,2020-04-20 00:20:52,26.93,-101.45,100.0,10,19,1.01,few clouds,0.0,0.0
513,Kalmunai,LK,2020-04-20 00:20:52,7.42,81.82,81.91,79,65,5.12,light rain,0.13,0.0
